sentence	pictos_ref_ids	sense_keys
avez vous des troubles de l'odorat	[[9001], [2608], [8477], [], [7074], [8476], [2887]]	[['be%2:42:00::', 'exist%2:42:00::'], [], [], [], [], [], ['nose%1:08:00::', 'olfactory_organ%1:08:00::']]
à quelle date ont commencé les symptomes	[[7041], [22620], [34799], [9001], [5431], [8477], [29165]]	[[], [], ['date%1:28:03::'], ['be%2:42:00::', 'exist%2:42:00::'], ['begin%2:30:00::', 'commence%2:30:00::', 'get%2:30:12::', 'get_down%2:30:00::', 'set_about%2:30:00::', 'set_out%2:30:00::', 'start%2:30:00::', 'start_out%2:30:00::', 'begin%2:42:00::', 'start%2:42:00::', 'scratch%1:15:00::', 'scratch_line%1:15:00::', 'start%1:15:00::', 'starting_line%1:15:00::', 'start%1:11:00::'], [], ['symptom%1:26:00::']]
respirez vous trop rapidement	[[34377], [2608], [25708], [5306]]	[['a_capella%4:02:00::', 'a_cappella%4:02:00::', 'able%3:00:00::', 'breathe%2:29:00::', 'entity%1:03:00::', 'respire%2:29:00::', 'suspire%2:29:03::', 'take_a_breath%2:29:00::'], [], ['rattling%4:02:00::', 'real%4:02:01::', 'really%4:02:00::', 'very%4:02:00::'], ['agile%5:00:00:active:01', 'nimble%5:00:00:active:01', 'quick%5:00:00:active:01', 'spry%5:00:00:active:01', 'quick%5:00:00:fast:01', 'speedy%5:00:03:fast:01', 'apace%4:02:00::', 'chop-chop%4:02:00::', 'in_short_order%4:02:00::', 'quickly%4:02:00::', 'rapidly%4:02:00::', 'speedily%4:02:00::', 'promptly%4:02:02::', 'quick%4:02:00::', 'quickly%4:02:02::', 'fleet%5:00:00:fast:01', 'swift%5:00:00:fast:01', 'fast%3:00:01::']]
quelle était votre température maximale	[[22620], [5858], [12285], [8230], []]	[[], ['be%2:42:03::', 'be%2:42:06::'], [''], ['temperature%1:07:00::'], []]
avez vous une maladie respiratoire chronique	[[9001], [2608], [8474], [6637], [34377], []]	[['be%2:42:00::', 'exist%2:42:00::'], [], [], ['illness%1:26:00::', 'malady%1:26:00::', 'sickness%1:26:00::', 'unwellness%1:26:00::'], ['a_capella%4:02:00::', 'a_cappella%4:02:00::', 'able%3:00:00::', 'breathe%2:29:00::', 'entity%1:03:00::', 'respire%2:29:00::', 'suspire%2:29:03::', 'take_a_breath%2:29:00::'], []]
avez vous déjà fait une crise cardiaque	[[9001], [2608], [37162], [], [8474], [5490], [5490]]	[['be%2:42:00::', 'exist%2:42:00::'], [], ['again%4:02:00::', 'once_again%4:02:00::', 'once_more%4:02:00::', 'over_again%4:02:00::'], [], [], ['heart_attack%1:26:00::'], ['heart_attack%1:26:00::']]
avez vous trop de tension artérielle	[[9001], [2608], [25708], [7074], [8235], []]	[['be%2:42:00::', 'exist%2:42:00::'], [], ['rattling%4:02:00::', 'real%4:02:01::', 'really%4:02:00::', 'very%4:02:00::'], [], ['blood_pressure%1:19:00::', 'take%2:30:08::'], []]
pouvez vous indiquer combien de personnes vivent avec vous	[[11750], [2608], [6612], [7073], [7074], [7116], [7302], [7064], [2608]]	[[''], [], ['designate%2:32:03::', 'indicate%2:32:03::', 'point%2:32:00::', 'show%2:32:01::'], ['amount%1:03:00::', 'measure%1:03:00::', 'quantity%1:03:00::', 'interrogation%1:10:01::', 'interrogative%1:10:00::', 'interrogative_sentence%1:10:00::', 'question%1:10:03::'], [], ['group%1:03:00::', 'grouping%1:03:00::', 'staff%1:14:01::', 'people%1:14:00::'], ['dwell%2:42:00::', 'inhabit%2:42:00::', 'live%2:42:08::', 'populate%2:42:00::', 'lodge_in%2:42:00::', 'occupy%2:42:00::', 'reside%2:42:01::'], [], []]
avez vous été en contact avec une personne confirmée positive au coronavirus dans les quatorze derniers jours	[[9001], [2608], [3345], [3345], [3345], [7064], [8474], [34560], [9001], [9001], [], [24459], [7081], [8477], [29266], [27319], [7022]]	[['be%2:42:00::', 'exist%2:42:00::'], [], ['speak%2:32:02::', 'talk%2:32:03::', 'chaffer%2:32:00::', 'chat%2:32:00::', 'chatter%2:32:01::', 'chew_the_fat%2:32:00::', 'chit-chat%2:32:00::', 'chitchat%2:32:00::', 'claver%2:32:00::', 'confab%2:32:00::', 'confabulate%2:32:00::', 'gossip%2:32:01::', 'jaw%2:32:00::', 'natter%2:32:00::', 'shoot_the_breeze%2:32:00::', 'visit%2:32:00::', 'converse%2:32:00::', 'discourse%2:32:01::'], ['speak%2:32:02::', 'talk%2:32:03::', 'chaffer%2:32:00::', 'chat%2:32:00::', 'chatter%2:32:01::', 'chew_the_fat%2:32:00::', 'chit-chat%2:32:00::', 'chitchat%2:32:00::', 'claver%2:32:00::', 'confab%2:32:00::', 'confabulate%2:32:00::', 'gossip%2:32:01::', 'jaw%2:32:00::', 'natter%2:32:00::', 'shoot_the_breeze%2:32:00::', 'visit%2:32:00::', 'converse%2:32:00::', 'discourse%2:32:01::'], ['speak%2:32:02::', 'talk%2:32:03::', 'chaffer%2:32:00::', 'chat%2:32:00::', 'chatter%2:32:01::', 'chew_the_fat%2:32:00::', 'chit-chat%2:32:00::', 'chitchat%2:32:00::', 'claver%2:32:00::', 'confab%2:32:00::', 'confabulate%2:32:00::', 'gossip%2:32:01::', 'jaw%2:32:00::', 'natter%2:32:00::', 'shoot_the_breeze%2:32:00::', 'visit%2:32:00::', 'converse%2:32:00::', 'discourse%2:32:01::'], [], [], ['person%1:08:00::'], ['be%2:42:00::', 'exist%2:42:00::'], ['be%2:42:00::', 'exist%2:42:00::'], [], ['virus%1:05:00::'], ['patch%1:28:00::', 'piece%1:28:00::', 'spell%1:28:01::', 'while%1:28:00::'], [], ['number%1:23:00::', 'number%1:10:01::', 'numeral%1:10:00::', '14%1:23:00::', 'fourteen%1:23:00::', 'xiv%1:23:00::', '14%5:00:00:cardinal:00', 'fourteen%5:00:00:cardinal:00', 'xiv%5:00:00:cardinal:00'], ['old%5:00:00:preceding:00', 'previous%5:00:00:preceding:00', 'come_before%2:41:00::', 'precede%2:41:00::'], ['day%1:28:02::', 'daylight%1:28:00::', 'daytime%1:28:00::']]
étiez vous en quarantaine en tant que contact proche d'un cas confirmé de coronavirus	[[5858], [2608], [11709], [25776], [], [], [], [], [], [], [], [], [], [], []]	[['be%2:42:03::', 'be%2:42:06::'], [], [], ['isolate%2:30:02::', 'keep_apart%2:30:00::', 'sequester%2:30:01::', 'sequestrate%2:30:00::', 'set_apart%2:30:01::', 'isolation%1:26:00::'], [], [], [], [], [], [], [], [], [], [], []]
