path	doc_name	sentence	reference	pictos_ref_ids	sense_keys
enregistrement35.wav	EN_Activities_People	les femmes et les hommes sont des gens	women and men are people	[[], [4745], [], [], [4744], [5581], [], [7203]]	[[], ['adult_female%1:18:00::', 'woman%1:18:00::', 'mrs%1:10:00::', 'mrs.%1:10:00::', 'lady%1:18:02::', 'silhouette%1:06:00::'], [], [], ['adult_male%1:18:00::', 'man%1:18:00::', 'sir%1:18:00::', 'silhouette%1:06:00::'], ['be%2:42:03::', 'be%2:42:06::'], [], ['people%1:14:00::', 'group%1:03:00::', 'grouping%1:03:00::']]
enregistrement36.wav	EN_Activities_People	les gens grandissent bébé	people grow baby	[[], [7203], [7002], [6060]]	[[], ['people%1:14:00::', 'group%1:03:00::', 'grouping%1:03:00::'], ['grow%2:30:04::', 'maturate%2:30:00::', 'mature%2:30:00::'], ['babe%1:18:00::', 'baby%1:18:00::', 'infant%1:18:00::']]
enregistrement37.wav	EN_Activities_People	les gens sont dans une maison	people are in house	[[], [7203], [5465], [7034], [], [2317]]	[[], ['people%1:14:00::', 'group%1:03:00::', 'grouping%1:03:00::'], ['be%2:42:05::'], [], [], ['house%1:06:00::', 'family%1:14:02::', 'home%1:14:00::', 'house%1:14:05::', 'household%1:14:00::', 'menage%1:14:00::']]
enregistrement38.wav	EN_Activities_People	les gens ont besoin de manger	people need to eat	[[], [7203], [7171], [7171], [], [2349]]	[[], ['people%1:14:00::', 'group%1:03:00::', 'grouping%1:03:00::'], ['aid%2:41:00::', 'assist%2:41:02::', 'help%2:41:00::', 'aid%2:29:00::', 'help%2:29:00::'], ['aid%2:41:00::', 'assist%2:41:02::', 'help%2:41:00::', 'aid%2:29:00::', 'help%2:29:00::'], [], ['eat%2:34:00::', 'consume%2:34:00::', 'have%2:34:00::', 'ingest%2:34:00::', 'take%2:34:00::', 'take_in%2:34:00::']]
enregistrement39.wav	EN_Activities_People	tous les gens ont un visage	all people have face	[[5596], [], [7203], [7271], [], [2684]]	[['all%4:02:00::', 'altogether%4:02:04::', 'completely%4:02:04::', 'entirely%4:02:00::', 'right%4:02:07::', 'totally%4:02:00::', 'whole%4:02:00::', 'wholly%4:02:00::', 'all%5:00:00:complete:00'], [], ['people%1:14:00::', 'group%1:03:00::', 'grouping%1:03:00::'], ['have%2:40:04::', 'own%2:40:00::', 'possess%2:40:00::', 'have%2:40:00::', 'have_got%2:40:00::', 'hold%2:40:00::'], [], ['face%1:08:00::', 'human_face%1:08:01::']]
enregistrement40.wav	EN_Activities_People	sur notre visage nous avons des yeux	on our face we have eyes	[[7034], [12268], [2684], [], [12268], [], [6573]]	[[], [], ['face%1:08:00::', 'human_face%1:08:01::'], [], [], [], ['eye%1:08:00::', 'oculus%1:08:00::', 'optic%1:08:00::', 'sight%1:09:00::', 'vision%1:09:01::', 'visual_modality%1:09:00::', 'visual_sense%1:09:00::']]
enregistrement41.wav	EN_Activities_People	le matin je prends mon bain mon petit déjeuner et je m'habille	in the morning I bathe have breakfast and get dressed	[[], [7022], [], [2271], [2271], [2271], [], [4625], [4625], [], [], [], [2781]]	[[], ['day%1:28:02::', 'daylight%1:28:00::', 'daytime%1:28:00::'], [], ['bathe%2:29:00::'], ['bathe%2:29:00::'], ['bathe%2:29:00::'], [], ['breakfast%2:34:00::'], ['breakfast%2:34:00::'], [], [], [], ['apparel%2:29:00::', 'clothe%2:29:00::', 'dress%2:29:01::', 'enclothe%2:29:00::', 'fit_out%2:29:00::', 'garb%2:29:00::', 'garment%2:29:00::', 'habilitate%2:29:00::', 'raiment%2:29:00::', 'tog%2:29:00::', 'dress%2:29:00::', 'get_dressed%2:29:00::']]
enregistrement42.wav	EN_Activities_People	les gens qui sont malades prennent des médicaments	people who are sick are taking medicines	[[], [7203], [], [5465], [28742], [2349], [], [8163]]	[[], ['people%1:14:00::', 'group%1:03:00::', 'grouping%1:03:00::'], [], ['be%2:42:05::'], ['ill%3:00:01::', 'sick%3:00:01::', 'illness%1:26:00::', 'malady%1:26:00::', 'sickness%1:26:00::', 'unwellness%1:26:00::', 'patient%1:18:00::', 'come_down%2:29:00::', 'sicken%2:29:00::'], ['eat%2:34:00::', 'consume%2:34:00::', 'have%2:34:00::', 'ingest%2:34:00::', 'take%2:34:00::', 'take_in%2:34:00::'], [], ['medicament%1:06:00::', 'medication%1:06:00::', 'medicinal_drug%1:06:00::', 'medicine%1:06:00::', 'intervention%1:04:02::', 'treatment%1:04:00::']]
enregistrement43.wav	EN_Activities_People	les gens ont besoin de vêtements nourritures et d'hygiène	people need clothes food and hygiene	[[], [7203], [7171], [7171], [], [34395], [4610], [], [], [6912]]	[[], ['people%1:14:00::', 'group%1:03:00::', 'grouping%1:03:00::'], ['aid%2:41:00::', 'assist%2:41:02::', 'help%2:41:00::', 'aid%2:29:00::', 'help%2:29:00::'], ['aid%2:41:00::', 'assist%2:41:02::', 'help%2:41:00::', 'aid%2:29:00::', 'help%2:29:00::'], [], ['garment%1:06:00::'], ['food%1:13:00::', 'solid_food%1:13:00::', 'food%1:03:00::', 'nutrient%1:03:00::'], [], [], ['toilet_articles%1:06:00::', 'toiletry%1:06:00::']]
enregistrement44.wav	EN_Activities_People	les gens sont heureux triste ou en colère	people are happy, sad or angy	[[], [7203], [5465], [3245], [2606], [], [], [2374]]	[[], ['people%1:14:00::', 'group%1:03:00::', 'grouping%1:03:00::'], ['be%2:42:05::'], ['happy%3:00:00::', 'content%3:00:00::', 'contented%3:00:00::'], ['sad%3:00:00::', 'blue%5:00:00:dejected:00', 'depressed%5:00:00:dejected:00', 'dispirited%5:00:00:dejected:00', 'down%5:00:00:dejected:00', 'down_in_the_mouth%5:00:00:dejected:00', 'downcast%5:00:00:dejected:00', 'downhearted%5:00:00:dejected:00', 'gloomy%5:00:00:dejected:00', 'grim%5:00:00:dejected:00', 'low%5:00:00:dejected:00', 'low-spirited%5:00:00:dejected:00', 'distressed%3:00:04::', 'dysphoric%3:00:00::', 'unhappy%3:00:04::', 'unhappy%3:00:00::'], [], [], ['angry%3:00:00::', 'organically%4:02:02::', 'angered%5:00:00:angry:00', 'enraged%5:00:00:angry:00', 'furious%5:00:00:angry:00', 'infuriated%5:00:00:angry:00', 'maddened%5:00:00:angry:00', 'annoyed%5:00:00:displeased:00', 'irritated%5:00:00:displeased:00', 'miffed%5:00:00:displeased:00', 'nettled%5:00:00:displeased:00', 'peeved%5:00:00:displeased:00', 'pissed%5:00:00:displeased:00', 'pissed_off%5:00:00:displeased:00', 'riled%5:00:00:displeased:00', 'roiled%5:00:00:displeased:00', 'steamed%5:00:00:displeased:00', 'stung%5:00:00:displeased:00']]
