idpicto,lemma,synset,synset2,relation,head,headrel,dependent,deprel,antonym,number,lemma_plural,disable
2239,abeille,fre-30-02206856-n,02209508-n,synonym,\N,\N,\N,\N,\N,\N,abeilles,\
2242,manteau,fre-30-03057021-n,03061006-n,synonym,\N,\N,\N,\N,\N,\N,manteaux,\
2242,manteau,fre-30-04187970-n,04195013-n,synonym,\N,\N,\N,\N,\N,\N,manteaux,\
2242,manteau,fre-30-03456665-n,03461607-n,synonym,\N,\N,\N,\N,\N,\N,manteaux,\
2242,pardessus,fre-30-03456665-n,03461607-n,synonym,\N,\N,\N,\N,\N,\N,pardessus,\
2242,pardessus,fre-30-03057021-n,03061006-n,synonym,\N,\N,\N,\N,\N,\N,pardessus,\
2242,pardessus,fre-30-04187970-n,04195013-n,synonym,\N,\N,\N,\N,\N,\N,pardessus,\
2243,grand-mère,fre-30-10142747-n,10162267-n,synonym,\N,\N,\N,\N,\N,\N,grands-mères,\
2243,mamie,fre-30-10142747-n,10162267-n,synonym,\N,\N,\N,\N,\N,\N,mamies,\
2244,grand-père,fre-30-10142391-n,10161911-n,synonym,\N,\N,\N,\N,\N,\N,grands-pères,\
2244,papi,fre-30-10142391-n,10161911-n,synonym,\N,\N,\N,\N,\N,\N,papis,\
2245,ennuyeux,fre-30-01345307-a,01348155-s,synonym,\N,\N,\N,\N,\N,\N,ennuyeux,\
2245,monotone,fre-30-01345307-a,01348155-s,synonym,\N,\N,\N,\N,\N,\N,monotones,\
2246,huile,fre-30-07673397-n,07689142-n,synonym,\N,\N,\N,\N,\N,\N,huiles,\
2246,huile,fre-30-07674508-n,07690253-n,synonym,\N,\N,\N,\N,\N,\N,huiles,\
2246,huile_d'olive,fre-30-07674508-n,07690253-n,synonym,\N,\N,\N,\N,\N,\N,huiles_d'olive,\
2246,huile_d'olive,fre-30-07673397-n,07689142-n,synonym,\N,\N,\N,\N,\N,\N,huiles_d'olive,\
2247,trottoir,fre-30-04215402-n,04222469-n,synonym,\N,\N,\N,\N,\N,\N,trottoirs,\
2248,eau,fre-30-07935504-n,07951744-n,synonym,\N,\N,\N,\N,\N,\N,eaux,\
2248,eau,fre-30-14845743-n,14869913-n,synonym,\N,\N,\N,\N,\N,\N,eaux,\
2249,carpette,fre-30-04118021-n,04125115-n,synonym,\N,\N,\N,\N,\N,\N,carpettes,\
2249,tapis,fre-30-04118021-n,04125115-n,synonym,\N,\N,\N,\N,\N,\N,tapis,\
2250,coussin,fre-30-03938244-n,03944520-n,synonym,\N,\N,\N,\N,\N,\N,coussins,\
2250,oreiller,fre-30-03938244-n,03944520-n,synonym,\N,\N,\N,\N,\N,\N,oreillers,\
2251,ambulance,fre-30-02701002-n,02703861-n,synonym,\N,\N,\N,\N,\N,\N,ambulances,\
2252,bague,fre-30-04092609-n,04099721-n,synonym,\N,\N,\N,\N,\N,\N,bagues,\
2253,antenne,fre-30-03207305-n,03212026-n,synonym,\N,\N,\N,\N,\N,\N,antennes,\
2253,antenne_parabolique,fre-30-03207305-n,03212026-n,synonym,\N,\N,\N,\N,\N,\N,antennes_paraboliques,\
2253,parabole,fre-30-03207305-n,03212026-n,synonym,\N,\N,\N,\N,\N,\N,paraboles,\
2254,araignée,fre-30-01772222-n,01774863-n,synonym,\N,\N,\N,\N,\N,\N,araignées,\
2255,amis,fre-30-10112591-n,10132360-n,synonym,\N,\N,\N,\N,\N,\N,amis,\
2255,copains,fre-30-10112591-n,10132360-n,synonym,\N,\N,\N,\N,\N,\N,copains,\
2256,arbre,fre-30-13104059-n,13124818-n,synonym,\N,\N,\N,\N,\N,\N,arbres,\
2257,écureuil,fre-30-02355227-n,02357879-n,synonym,\N,\N,\N,\N,\N,\N,écureuils,\
2258,armoire,fre-30-04550184-n,04557470-n,synonym,\N,\N,\N,\N,\N,\N,armoires,\
2258,penderie,fre-30-04550184-n,04557470-n,synonym,\N,\N,\N,\N,\N,\N,penderies,\
2258,placard,fre-30-04550184-n,04557470-n,synonym,\N,\N,\N,\N,\N,\N,placards,\
